code_officiel_geographique_insee,nom_commune,code_postal,nom_minuscule,province,province_1,province_2
98803,BOURAIL,98870,Bourail,province Sud,province Sud,
98805,DUMBEA,98835,Dumbéa,province Sud,province Sud,
98809,ILE DES PINS,98832,Île-des-Pins (L'),province Sud,province Sud,
98811,KONE,98859,Koné,province Nord,province Nord,
98812,KOUMAC,98850,Koumac,province Nord,province Nord,
98823,PONERIHOUEN,98823,Ponérihouen,province Nord,province Nord,
98827,POYA,98827,Poya,"province Nord,province Sud",province Nord,province Sud
98831,VOH,98833,Voh,province Nord,province Nord,
98802,BOULOUPARIS,98812,Boulouparis,province Sud,province Sud,
98804,CANALA,98813,Canala,province Nord,province Nord,
98807,HIENGHENE,98815,Hienghène,province Nord,province Nord,
98808,HOUAILOU,98816,Houaïlou,province Nord,province Nord,
98833,KOUAOUA,98818,Kouaoua,province Nord,province Nord,
98813,LA FOA,98880,La Foa,province Sud,province Sud,
98814,LIFOU,98820,Lifou,province des îles Loyauté,province des îles Loyauté,
98817,MONT-DORE,98809,Mont-Dore (Le),province Sud,province Sud,
98821,PAITA,98889,Païta,province Sud,province Sud,
98824,POUEBO,98824,Pouébo,province Nord,province Nord,
98828,SARRAMEA,98882,Sarraméa,province Sud,province Sud,
98830,TOUHO,98831,Touho,province Nord,province Nord,
98832,YATE,98834,Yaté,province Sud,province Sud,
98801,BELEP,98811,Belep,province Nord,province Nord,
98806,FARINO,98881,Farino,province Sud,province Sud,
98810,KAALA-GOMEN,98817,Kaala-Gomen,province Nord,province Nord,
98815,MARE,98828,Maré,province des îles Loyauté,province des îles Loyauté,
98816,MOINDOU,98819,Moindou,province Sud,province Sud,
98818,NOUMEA,98800,Nouméa,province Sud,province Sud,
98819,OUEGOA,98821,Ouégoa,province Nord,province Nord,
98820,OUVEA,98814,Ouvéa,province des îles Loyauté,province des îles Loyauté,
98822,POINDIMIE,98822,Poindimié,province Nord,province Nord,
98825,POUEMBOUT,98825,Pouembout,province Nord,province Nord,
98826,POUM,98826,Poum,province Nord,province Nord,
98829,THIO,98829,Thio,province Sud,province Sud,
